item_id,n_interactions,release_year
38720,1234,2010
63700,949,2010
280,4829,2004
20920,9746,2011
105600,29239,2011
98200,2164,2011
4500,2385,2007
4540,3939,
4550,2529,
9480,7461,2009
15620,6055,2009
20500,3170,2009
20570,5120,2010
50620,6225,2010
55100,2049,2011
55140,2232,2010
56400,5329,
475150,4067,
96100,2207,2016
35450,8727,2011
236830,6775,
72850,22285,
107100,6834,2011
57690,5718,2011
91310,11275,
113200,11400,2011
65800,6772,2011
9200,2595,2011
41070,5442,
48950,722,2010
92800,3397,2011
104700,4655,2012
203770,3008,2012
203810,2372,
110800,3550,2011
207610,6545,2012
98300,640,2012
50300,4800,2012
204300,8700,2012
1700,234,2002
205100,7702,2012
211120,240,
730,43776,2012
49520,21029,2012
200260,8663,2012
212680,9880,2012
200710,8828,2012
219150,8135,2012
215510,1585,2012
8870,11967,2013
200510,8279,2012
220240,8490,2012
218680,6508,2012
228280,859,2013
212070,3835,2013
218230,20726,2012
236390,18172,
3483,675,2007
203160,9692,2013
227080,1053,2013
233450,6614,2015
43160,3612,
219740,12653,
322330,15571,2016
222730,2929,2013
241600,3729,2013
238930,138,2013
217140,911,2013
39140,1934,2013
225080,2606,2013
239030,5450,2013
248820,6125,2013
239350,2866,2013
218620,23729,
206420,9999,2013
236850,1712,2013
47790,6036,2010
47830,6036,
250320,2844,2013
250900,5515,2014
204450,2324,2013
233270,4596,2013
251990,953,2013
253980,2643,2003
236450,972,2013
242050,2877,2013
257350,528,2013
213670,4217,2014
238010,4155,2013
245470,1357,2013
221910,6881,2013
260230,982,2014
238430,4697,2013
261030,3587,2013
261570,1166,2015
263980,1581,2016
39150,917,2013
230230,1805,2014
373420,1805,2015
232790,897,2014
237990,1189,2014
273620,59,2014
222880,11368,2014
225840,3755,1999
222900,13422,
280220,310,2014
236430,2313,2014
201810,3316,2014
294860,2132,2014
295690,535,2015
238460,8930,2014
237930,2691,2014
301480,885,
303390,1709,2014
306660,621,2014
316790,1145,2015
318430,1311,2014
241930,6004,2014
328080,101,2014
282070,3457,2014
333930,17233,
334120,47,2015
257510,1350,2014
319630,5517,2015
346010,5203,2015
255710,4827,2015
232090,4237,2016
232150,4237,
377160,9013,2015
340170,300,2015
391540,4777,2015
396660,10,2016
337000,661,2016
368230,747,2015
496300,747,2016
231430,4305,2013
289130,1670,2014
268500,2067,2016
461640,273,2016
379720,2307,2016
273350,8744,2015
80,8850,2004
100,8850,
3910,3097,2001
4000,43301,2006
6880,4655,2006
2200,1178,1999
2270,1184,1994
2280,1343,1995
2290,1236,1996
2300,1360,1994
2310,1252,2007
2320,1174,1997
2330,1060,1998
2340,1062,1998
2350,1177,2000
2360,726,1995
2370,703,1996
2390,716,2007
9000,904,1993
9010,1231,2001
9030,1060,2007
9040,1062,1997
9050,1228,2004
9060,727,1998
9070,982,2005
9160,1360,1995
9180,848,1990
4760,3876,2004
2590,989,2007
4230,223,2006
4290,200,2007
8600,3026,2007
8660,2744,2008
44630,626,
15310,31,2005
17100,83,2008
17120,68,2008
21000,652,2008
17470,7243,2008
27000,211,2009
23700,260,2009
22330,4451,2007
9870,526,
12830,1929,2009
24800,3933,2009
40200,4,
40210,5,2009
39900,32,2010
46410,763,2010
33220,1444,
48800,417,2010
70100,974,2010
70110,707,2010
70120,749,2011
9940,222,2010
23490,3958,2009
57600,830,2010
60600,338,2010
33950,555,2007
12210,10024,
12220,7874,2010
47810,2641,2010
39670,273,2003
90100,30,
72200,2824,2011
65070,63,2013
31700,448,2008
21100,4942,2011
48210,248,
91900,782,2011
70000,6503,2011
91600,5725,2011
41740,271,2011
104200,1411,2011
22600,2317,2010
22610,1157,2010
92100,827,2011
104600,884,2011
98500,334,2011
94200,1397,2011
7600,1623,2006
37100,109,2009
16450,4599,2009
97000,1505,2011
3270,585,2007
15900,46,2008
15910,27,2005
15920,39,2005
15930,59,2007
15940,8,
15950,67,2008
15960,74,2008
15970,27,2008
15980,8,
16000,57,2008
16020,42,2008
16030,42,2008
16040,32,2008
16060,30,2009
32110,62,2009
32120,37,2009
32130,8,
32140,92,2009
32160,144,2009
60340,81,2011
22650,1324,2010
98800,1550,2011
22230,1840,2011
34830,1685,2010
61100,221,2011
32800,3997,2011
65790,5116,2011
107200,1904,2011
111800,933,2011
28050,4559,
17710,1504,2011
63000,1162,2011
102840,1742,2012
55230,14753,2011
115100,1301,2011
80310,605,2011
65730,1028,2011
201280,1723,
71340,1691,2011
48240,1689,
61310,557,2011
24480,284,2012
1600,115,2006
41900,812,2005
105450,4668,2009
8650,373,2008
48000,8696,2011
115110,1198,2012
207170,2375,2012
207650,1426,2012
108200,582,2012
102600,4664,2011
208600,399,
209610,136,2012
15560,913,
209360,126,2012
50510,264,2010
207690,1223,2012
210150,89,
205610,403,2012
205350,2664,
104900,10236,2013
205530,227,2012
3990,2880,2006
8800,2890,2007
16810,2885,2008
34450,2880,
34460,2890,
211360,784,2012
98400,1173,2012
204180,1034,2012
108800,7597,2011
207730,267,2012
204100,3636,2012
207080,1217,2012
209790,680,2012
213330,906,2012
212010,658,2012
214360,1369,2012
234740,1369,
201790,8051,2012
108700,284,2012
204220,875,2012
202170,5076,
33600,548,1997
214790,1717,2012
72000,1160,2012
218640,1759,2012
209540,1340,2013
214560,5184,2012
206440,2500,2011
220780,3520,2012
204360,11511,2012
221260,3410,2012
215790,389,2012
219910,501,2012
220860,2613,2012
65740,702,2012
34030,3390,2010
211160,2396,2012
217060,779,
43100,193,2009
217790,199,2012
223220,1583,2012
4920,7696,2012
33670,446,2010
218740,1972,2012
219950,763,2012
38600,857,2010
224900,309,2012
223470,5869,2003
223630,552,
203140,9016,2012
205930,6692,
20540,5353,2009
55110,5253,2011
209190,994,2012
226120,1061,2013
221640,4799,2012
34870,1740,2013
224420,2566,
105000,448,2012
221300,95,
209950,167,2012
4570,4915,2006
71230,753,2011
71240,715,2011
71250,1471,2011
71260,712,2011
222980,1194,2012
200900,1973,
35720,6620,2013
209270,1218,2012
224700,41,2013
227300,4912,2013
204080,2405,2013
219890,3417,2013
223850,862,
286080,2243,2014
224580,9805,2013
225260,3788,2013
218060,1987,2013
217920,344,2013
227260,295,2013
232950,492,2013
230150,511,2013
225420,2441,2013
234490,656,2013
233740,1274,2013
235360,334,2013
234900,529,2013
233720,8818,2013
234710,5163,2013
220900,508,2013
210770,7205,2013
113020,6246,2013
22300,2933,2008
235250,894,2013
224760,4910,2013
234650,1810,2013
236730,897,2013
215690,866,2013
57640,630,2010
236090,2888,2013
18490,254,
268540,444,2014
231160,1827,2013
231740,1321,2013
242760,6888,2014
242800,401,2013
242920,3915,2014
243120,665,2014
228960,546,2013
242110,999,2013
238050,228,2013
95000,426,2013
201420,942,2013
237530,942,
244770,964,2014
244850,7785,
244890,273,2013
40390,2623,2012
225640,2282,2012
246420,796,2014
40300,1823,2009
207930,1563,2013
234390,2838,2013
246680,253,2014
246900,1758,
255520,4268,
265210,3007,
247020,1376,2013
214770,2250,2013
241620,284,2012
244070,2091,2013
243780,596,2013
244590,671,2014
248370,160,2013
248470,220,2013
248490,233,2013
248710,373,2013
209000,4700,2013
239820,5126,2013
250260,1140,2014
250460,713,2013
250580,831,2013
214550,1773,2014
111900,2225,2013
251530,416,2013
251610,50,
252010,183,2014
252170,231,2013
252310,321,2013
252370,245,2013
252490,16201,2013
252570,135,2014
252830,121,2014
252910,240,2010
253130,183,
253410,495,2013
253630,355,2013
253650,639,2011
253880,428,2000
259280,910,
259300,769,
3370,332,
3390,366,2006
3480,754,2007
3600,322,2009
78000,1089,2010
3540,529,2008
3620,262,2009
255320,240,2013
241540,3640,2013
224860,886,2013
58520,1274,2010
204560,949,2012
208730,1246,2012
209730,1043,2012
219780,1376,2012
231140,1281,2013
58610,1726,2012
205650,596,2012
255870,422,2013
29900,179,2009
91100,632,2011
207040,554,2012
217690,602,2013
57740,471,2012
245620,1719,2014
247120,1487,2013
239160,3561,2014
233130,2975,2013
9350,2651,2007
9420,2946,2011
39650,1105,2006
39690,851,2010
50650,4513,
65530,650,2012
214870,1228,2012
257690,41,2014
257830,255,2013
209390,106,2012
231720,278,2013
233210,68,2013
235800,921,2015
45500,241,2010
258880,281,2013
258890,465,2013
258950,169,2013
259390,335,2013
259530,770,2013
259570,72,2015
259620,213,2011
259780,249,2013
212480,2790,2013
259870,90,2014
259890,322,2012
244090,2080,2013
207750,704,2012
3020,307,2007
252150,670,2014
262260,143,2014
221380,8994,2013
262830,252,2014
263080,116,2014
263280,1459,2014
367690,1459,
263360,217,2014
263520,61,2014
263700,231,
264140,3129,2015
264280,230,2014
264300,223,
260750,290,2004
260770,290,
264730,584,
70210,88,2010
265870,160,2014
265930,9450,2014
266010,890,2014
266330,236,2014
266390,88,2013
266840,2646,
266940,38,2013
267060,223,2013
267600,278,2013
267610,256,2013
267960,431,2011
268650,748,2014
268830,140,
268850,1168,2014
269270,182,2014
270190,42,2014
270330,67,2014
270550,2430,2014
267670,97,2014
270750,98,2014
270760,95,2014
96200,788,2011
237950,924,2007
65780,1246,2011
260210,302,2014
272990,151,2014
273760,209,2014
273940,207,2014
208670,511,2012
224480,2315,2014
12710,2135,2008
12770,1042,2008
44340,1744,2011
12810,2369,2009
44320,2035,
201700,1726,
321040,2635,
274560,818,2014
275080,201,2014
275490,897,2014
277430,1491,2014
277500,173,2014
277590,360,2014
34800,63,2008
10270,136,2014
279140,59,2015
281410,154,2008
281690,734,
246620,2643,2016
282100,282,2014
282140,651,2015
282440,6736,2010
282800,921,2013
283040,69,2014
283180,102,2014
283390,304,2002
283880,568,2014
283960,206,1996
286320,127,2013
286500,61,2014
286540,38,2014
258180,1460,2014
287840,76,2015
288160,270,2014
289650,727,2014
233290,1602,2014
289760,345,2015
291170,102,
291270,83,2012
292410,561,2005
115210,158,2003
4880,146,2001
115200,147,2005
294020,316,
294230,212,2014
294530,108,1996
294670,105,1997
3050,69,2006
200370,377,2012
296470,2834,2014
296630,363,2014
299580,60,2017
300550,1265,2014
1500,1927,2005
1510,2085,2006
1520,2521,2006
1530,1858,2008
300820,31,2011
301190,227,2014
301200,185,2014
286690,2698,2014
287390,2907,2014
302120,44,2012
302130,53,2012
302460,102,2013
244160,1126,2015
304460,121,2014
306020,479,2014
306040,651,2016
250400,3706,2013
306350,181,1995
306410,592,2014
202090,8075,
63380,9851,2012
307050,164,
307230,390,
307760,187,2014
308330,42,2014
237850,434,2017
311850,58,
312280,781,2015
316080,56,2015
317250,150,
317400,2533,2015
317610,49,2014
253510,525,2014
318100,205,2014
318230,129,2015
318350,13,2014
318950,14,2010
319230,53,2014
319270,103,2014
319400,18,2011
319970,151,2014
320300,496,
45100,583,2010
289930,273,2014
7860,364,2009
46250,300,2010
287450,1628,2014
323320,1137,
241260,154,2014
323430,73,2014
302510,1154,2014
214490,2191,2014
221540,326,2014
307690,1267,2014
326190,189,2014
245300,38,2012
286880,25,2013
297860,84,2010
301760,29,2011
301980,27,2007
311770,133,2011
315440,48,2010
316030,26,2010
316260,33,2011
316320,25,2010
317580,24,2010
319170,29,2009
322600,38,
327740,71,2003
327370,31,2014
327860,189,2014
24240,15202,2011
328880,31,2014
329650,125,1998
329830,144,2014
329950,571,
211420,7126,2012
330350,417,2014
330370,35,2015
330660,52,2015
330840,1650,2014
331790,267,2015
305620,1723,2017
332480,133,2014
332710,102,2014
333740,85,
334620,45,2015
334840,71,2014
335200,30,2015
335240,3536,2015
337420,174,2014
339200,395,2015
339800,1445,2015
340070,171,2015
340300,191,2015
340310,173,2015
341080,37,2015
341150,62,2015
341500,771,2015
341550,108,2015
342360,71,2012
343390,58,2013
335660,71,2011
344030,32,2015
344040,591,2015
344790,32,2015
215080,2534,2014
301910,1388,2015
345440,57,2015
346040,50,2015
346110,8286,2017
407530,10493,2017
346140,39,2015
346290,205,2015
346900,9818,2015
347350,129,2015
347360,131,
347370,130,
495400,129,
347430,320,2015
347590,38,2015
347560,785,2015
348360,108,2015
348670,157,2015
349260,56,2015
349500,168,2015
351340,87,2015
351490,302,2015
352190,53,2015
331160,11,2006
331450,15,2003
331750,10,2008
331970,11,2002
332260,10,2007
338300,9,2006
339040,13,2005
340990,9,2008
343140,8,2006
353640,51,2015
311560,401,2015
354500,1049,2015
354510,1078,
354520,1073,
354530,1071,
354540,1090,
354550,1145,
494710,1050,
354640,502,2010
355150,485,2015
355950,1172,2015
356040,463,2016
356570,799,2015
359040,61,2015
359050,1398,2015
359320,2147,
360590,91,2015
360640,393,2015
360730,244,2015
360750,59,2015
361160,32,2015
361190,214,2015
361400,33,
47780,2857,2011
362620,152,2015
346680,1045,
362890,1045,2015
363460,68,
363490,321,2015
363600,413,2015
364270,331,2015
365450,593,2015
366990,38,2000
238370,1263,2015
397080,1262,
363580,34,2015
370510,385,2015
370550,43,2015
370640,36,2015
371420,174,2015
371500,86,2015
371510,90,2015
371670,152,2015
372030,29,2014
373110,515,
375250,65,2015
375460,364,2015
375510,339,2015
267750,404,2015
376870,503,2015
312530,1019,2015
380700,30,2015
208650,1470,2015
267490,957,2014
383330,347,2015
383560,124,2015
383800,28,2016
384480,38,2016
383870,953,2016
384740,65,2017
367580,273,2015
385080,126,2016
385830,244,2015
386330,29,2016
387840,99,2015
388080,144,2015
388160,86,2015
391070,431,2015
391420,311,2016
394310,559,2016
394540,156,2016
395270,43,2015
396260,21,2016
398710,665,2015
399430,420,2015
402670,52,2015
403560,213,2015
403570,295,2015
403900,263,2015
403740,290,2015
404480,388,2015
405640,357,2016
408940,72,2015
410210,285,2015
411960,97,2016
412600,288,2016
413150,3741,2016
272890,1323,2014
415420,84,2015
416080,238,2015
416550,33,2015
418070,822,2015
418910,21,2015
2700,1712,2006
285310,438,1999
285330,405,2002
427520,1588,2016
431240,2168,2016
432020,283,2016
440430,305,
440431,305,
440432,305,
440433,305,
440434,305,
440435,305,
440436,305,
440437,305,
440438,305,
433950,367,2016
264240,892,2014
438010,114,2016
438020,198,2016
438030,194,2016
438080,79,2016
438180,323,2016
310380,4805,2016
439260,13,
4720,1057,2006
34270,5385,2010
203750,1431,2012
444480,158,2016
444560,1202,
448630,192,2016
448660,78,2016
449200,106,2016
449540,270,2016
451880,159,2016
454200,156,2016
454890,221,2016
463210,233,2016
463220,108,2016
463350,209,2016
466840,145,2016
469730,240,2016
473450,16,2016
485330,99,2016
485890,56,2016
491330,27,2016
397060,694,2017
1200,1790,2006
1230,1790,2008
1280,1790,2009
3720,657,2004
32360,740,2009
67000,361,2010
47900,180,
2210,767,2005
22310,386,2009
22320,2921,2002
22340,598,2006
22350,1595,2011
22370,6636,2009
22450,370,2011
2820,928,2008
201310,653,2011
230410,25807,2013
224500,809,2016
214730,108,2013
238240,1080,2015
248390,573,2014
2870,270,2013
252110,341,2015
254200,342,2015
226620,236,2013
265950,141,2014
391920,141,
211820,9684,2016
367540,9683,
275850,1747,2016
292330,9,2016
226860,352,2015
38410,2055,1998
247080,1456,2015
315460,321,
324260,56,2015
275670,445,2014
340580,70,2017
344850,282,2015
351510,138,2015
365300,772,2016
298180,437,2014
370360,467,2015
372190,95,2016
383120,449,2015
388880,127,2016
234140,2664,2015
396890,49,2015
404410,1169,2015
416690,631,
364360,1669,2016
452780,364,
454060,106,2016
466170,155,2016
1300,171,2006
1309,171,
1313,171,
6850,3904,2002
12100,2510,2002
12230,2510,
12120,5561,2005
12250,5556,
12140,1370,2001
12150,1392,2003
15100,2092,2008
16600,269,2008
12750,2169,
12360,674,2008
17300,2520,2007
19830,340,2003
19840,340,
12200,3139,2008
11590,504,2007
21660,332,2009
12800,436,
13570,655,2005
40700,1286,2009
18110,609,
12840,839,
33610,224,2003
32430,3227,2009
3730,544,2000
40930,376,2010
34010,1029,2010
3960,71,2005
3980,77,2006
7610,535,2003
7620,89,1998
7650,1678,1995
7660,1677,1997
7730,1655,1998
7760,1822,1993
7770,1654,2001
7780,83,
16700,777,
40950,690,2001
40960,181,
40970,777,2002
40980,190,2009
50120,64,
41700,1994,2010
45740,2043,2010
70300,2288,2010
35130,2132,2010
47870,2388,2010
36700,338,
37000,372,
227560,338,2014
18000,665,2008
18020,578,2008
48190,2611,2011
63710,2588,2011
95300,1791,2011
92000,1063,2011
45760,1770,2014
57900,2171,2011
201870,2112,
200330,1695,
67370,3551,2012
207570,1111,2011
57400,1079,
204060,1710,2012
6860,4806,2006
6900,3459,2000
200390,1257,2012
209830,1521,2012
205910,2166,2012
108710,3705,2012
202750,3020,2012
211050,320,
107800,1089,2011
108500,904,2012
65300,1544,2012
207420,626,2012
214970,1360,2012
207210,541,
219680,1431,2013
388410,1582,2015
238960,12968,
230980,901,2013
228300,1373,2013
65930,3866,2013
206190,3502,2013
231040,1172,2013
261760,731,2014
296490,296,2015
296710,151,
326120,108,2015
240160,352,
240180,354,
240200,398,
358170,165,1991
358180,165,1993
358190,176,1993
358200,184,1992
358210,166,1993
358220,175,1994
358230,175,1991
358240,166,1990
358250,178,1992
358260,177,1991
358270,212,1996
358280,165,1994
358290,177,1994
358300,166,1993
358310,181,1994
358320,174,1995
358330,167,1990
358340,181,1992
358350,177,1992
358360,180,1994
358370,181,1995
358380,211,1994
358390,174,1996
358400,175,1997
358410,178,1994
358420,165,1995
358430,174,
358440,165,1991
359850,174,
365810,106,2017
368340,125,2015
370240,1065,2015
371180,169,1995
292030,4186,
373360,102,2015
205230,3858,2012
205950,3901,2012
2400,6358,2006
2420,6334,2006
2430,6358,
7110,349,2007
2600,1121,2004
6920,2586,2004
8400,475,2007
6510,341,2007
12160,476,2003
15390,304,2008
11240,560,2008
19900,4144,2008
6000,3721,2005
6060,9233,2005
3700,1370,2005
36000,344,2009
21690,1713,2009
6030,3351,2003
45700,843,2008
42120,909,2010
28000,1700,2010
32500,3095,2010
2450,409,2010
31290,1565,2010
94500,1565,
94510,1565,
94520,1565,
94530,1565,
2500,1206,2006
11200,1042,2007
105400,1136,
91700,2151,2011
94590,1193,2011
94600,796,
94610,776,
94620,776,2011
42680,4992,
42690,4992,
57000,77,2010
63500,775,2010
99700,1323,2011
45000,235,2010
91200,2150,2011
93200,1162,2011
98100,541,2011
102500,1847,2012
24420,691,2007
26900,1241,2009
201570,2396,2012
6120,1101,2010
41100,969,2009
11420,256,
107300,1598,2011
107310,1761,2011
213030,851,2012
212630,911,2012
55150,3219,2011
8200,538,2006
8210,536,2006
8220,536,2007
8240,530,2007
8250,530,2007
8260,520,2007
8270,519,2008
8280,521,2008
8290,519,2008
8300,519,2008
208580,5008,2005
214250,733,2012
214830,1630,2012
219640,15930,2012
232210,15932,
202970,7524,2012
202990,7524,
212910,7524,
42160,4787,
206980,2667,
211400,2497,2012
226700,4484,
220440,1872,2013
227200,524,2012
42670,71,2010
224540,9051,2012
227280,735,
368730,4036,2015
51100,6399,2013
99900,9549,2011
107900,2172,
109600,7248,2013
113400,8232,2011
208090,16489,2014
215120,397,2012
209870,9776,2012
242720,4097,2014
224260,15979,2011
245550,4024,2014
343450,4169,
257730,1864,2014
227100,2361,2013
221040,1633,2013
230050,2575,2013
232770,1024,1997
222480,1124,2013
234190,3212,2013
238210,2225,1999
239450,3183,
237110,2929,2013
218820,904,2014
207140,5366,2016
242530,401,2013
245280,660,2013
250180,1859,2014
4580,3521,2006
9310,3279,2006
9450,3452,2008
251130,326,2015
251470,648,2014
252950,11605,2015
253150,63,2014
249130,2583,2013
247660,444,2013
247910,1886,2013
261110,721,2014
261180,1995,2014
246580,750,2013
242700,2455,2013
261640,5764,2014
265550,1119,2014
257750,1128,2013
221100,10923,2013
268870,546,2015
239840,262,2014
235460,1714,2014
271290,8336,
273110,8222,2014
274310,1561,2014
275200,150,2015
235210,1008,2014
254700,1292,2014
285900,1476,2017
286160,3028,
20510,1616,2008
295110,5048,
362300,5048,2015
433850,5349,2016
439700,5349,2016
295930,389,
298630,2861,2015
292120,1084,2014
108600,2308,2013
246110,305,2015
304930,38682,2017
211500,4793,2013
307290,1578,2014
307670,82,2015
227700,7302,
311340,1684,2014
274290,800,2014
312990,7729,2014
268420,3885,
227940,19721,2016
315260,1715,2005
298520,828,2014
301970,1099,2014
229810,421,2015
317300,135,
2620,613,2003
2640,552,2004
10090,4012,2008
239140,3495,2015
327510,368,2016
330830,2268,2014
331470,999,2014
249050,1615,2014
333980,230,2015
339610,3851,2015
304240,359,2015
343750,225,2015
287290,1329,2015
39120,6297,2013
350080,896,2015
235540,1486,2015
45770,959,2011
248610,1123,2014
274270,532,2015
366844,954,
374320,2593,2016
374570,2030,2015
381210,1995,
383790,170,2016
38400,1997,1997
38420,1782,2001
311210,3367,2015
225540,2185,2015
418340,858,2016
427190,65,2016
350280,501,2017
324810,1345,2016
6570,42,
13240,1140,2000
13230,1294,2004
17430,1070,2008
23310,1887,2009
16720,615,2009
10680,2347,2010
13600,592,2003
33320,506,2010
45750,469,2010
49470,601,2011
33420,254,2011
43190,137,2011
111400,650,2011
107600,360,
209120,342,2012
209100,302,2012
203730,749,
239430,1196,2014
42170,636,2012
210950,274,2001
20530,2143,2001
20550,2048,2003
209080,7122,2012
211260,575,2012
111600,1367,2011
201480,1390,2011
204340,2234,2005
208200,1469,2012
96300,1040,
49540,1299,
36620,492,
207230,3469,2014
212160,3238,2012
238070,1416,
223710,7010,2013
262410,4831,2014
227680,1560,
225140,2208,
233470,1228,2013
44350,2608,2013
216250,5520,
230310,129,2014
214950,3706,2013
208610,2436,
245170,2994,2013
248530,374,2014
241720,816,2013
249650,1398,2014
242570,624,2013
225280,1024,2014
238320,3356,2013
250110,133,2015
252630,749,2013
255370,787,2014
234670,1462,2013
262060,1713,2016
262150,661,
281050,661,2014
39210,851,2014
263620,498,2014
243800,432,2013
265300,620,2014
269310,93,2016
226840,681,
287700,2477,2015
274190,2721,2015
290080,947,2015
261510,1268,2014
294810,172,2014
298110,1952,2014
301520,21785,2017
301640,1158,2015
224600,7803,2014
306830,3222,
311690,1403,2016
291480,10794,2014
244630,3127,2014
265590,426,2015
313340,1383,2014
317620,121,2014
319280,30,2015
320240,280,
274170,1178,2015
322910,312,2015
323370,10484,2015
209650,2128,2014
209660,2128,
328070,187,2014
268050,758,2014
323470,1244,2015
332970,86,
337630,240,2015
242680,1548,2015
341980,51,2015
342200,1722,2015
314660,667,2015
271590,8636,2015
307780,1391,2015
107410,7758,2013
339280,2649,2015
351570,1494,2015
355840,4817,2015
306130,1639,2014
361700,400,2011
361710,405,
361720,415,
361730,411,
361740,409,
361750,412,
361760,439,
361770,424,
361780,419,
495460,402,
365590,1418,2016
365720,3986,2015
367120,447,2015
367500,1031,2016
369990,58,2016
372000,2247,2016
373680,733,
375230,233,
377310,322,2015
314680,179,2014
366080,187,2015
383080,3081,
383580,737,2016
386360,8261,2015
393420,1077,2015
445900,1076,
396900,35,
299360,5186,2015
319510,2874,2014
332800,1610,2014
354140,830,2015
388090,632,2015
407840,994,2015
394510,579,2015
236110,6463,2017
369200,2072,
359550,2589,2015
435150,87,2017
290790,764,2015
444090,1578,2016
394230,1188,2016
363680,431,2016
18300,216,2008
24400,296,2009
48700,6953,2010
57200,287,2010
38900,141,
43000,576,2010
46450,325,2010
40420,409,2010
15740,939,2010
15750,915,2010
57650,405,2011
15120,970,2008
21980,421,2009
249610,215,2014
13500,449,2004
13530,461,2005
19980,570,2008
19680,1191,
70420,433,2011
33460,1621,2011
200910,482,2011
203630,2235,2012
211340,199,2012
207370,261,2012
207380,227,2012
207400,242,2012
204630,1280,2014
218410,357,2012
223510,360,2012
223810,279,2013
223870,279,
265630,10723,2014
286100,2492,2012
264380,994,2007
209060,288,2014
230700,547,2013
220200,5485,2015
225360,248,2013
244870,891,2013
244730,997,2013
248650,665,2013
248860,370,2014
249990,1330,2013
252410,1332,2013
253610,143,2014
264200,2421,2014
266210,959,2014
275390,354,2014
275530,141,2014
282900,908,2015
116100,157,2014
290770,464,2014
296510,78,2014
302710,176,2014
310080,744,2014
310850,112,2015
315540,96,2014
319080,13,2012
321870,188,2014
343360,911,2015
353330,31,2015
363790,101,2015
363970,9167,2015
384360,246,2015
385770,2227,2015
409160,1146,2015
17390,3828,2008
17440,1582,2008
24720,2081,2009
12110,3359,2003
12170,797,1998
12180,797,1999
12240,3359,
55040,954,2011
35000,1106,2009
205870,192,2012
211600,2533,1998
208140,2025,2012
204940,187,2012
221810,536,2013
227240,1042,2013
221200,171,
242590,989,2013
204240,1255,2013
233150,1566,2014
55020,109,2010
209520,287,2013
242880,1915,2013
246700,802,2014
242940,771,2001
239070,2669,2013
239200,1525,2013
250760,1201,2014
253030,3035,
242980,754,2000
262790,203,2014
263420,280,2014
274350,383,2015
290890,181,2015
304430,267,
232430,1775,2013
316010,2738,2015
317410,781,2014
265890,498,2014
271900,393,2014
304410,373,2014
329380,1604,2015
304650,941,2015
335300,1833,2015
360740,617,2015
243970,540,2015
317820,183,2015
230270,106,2016
474750,314,2016
496920,822,
2100,1055,2006
2130,1058,
10700,38,
21680,975,2008
37400,1342,2009
37420,1342,
23380,430,2009
32400,3337,1995
32380,3028,1997
32440,1362,2009
32470,3529,2006
65700,2598,2010
65720,2579,2010
202730,537,2012
64000,1405,2011
203210,434,2012
207490,519,2012
207150,331,2012
215670,1005,2012
214340,1461,2012
209670,463,2012
200170,3607,2012
220740,600,2012
223830,562,2014
1930,1598,2009
23300,401,2009
80300,305,2010
219200,358,2013
36630,494,
102700,1222,2011
200210,12105,2012
212800,3961,2010
29140,107,2009
29150,112,2009
31500,154,2008
248570,8918,2006
216150,3976,2012
239220,6995,
228260,753,2013
219190,368,2013
34190,731,2010
200940,922,2012
202530,824,2012
